ocd_id,name,fips
ocd-division/country:us/state:ar/county:arkansas,Arkansas,05001
ocd-division/country:us/state:ar/county:ashley,Ashley,05003
ocd-division/country:us/state:ar/county:baxter,Baxter,05005
ocd-division/country:us/state:ar/county:benton,Benton,05007
ocd-division/country:us/state:ar/county:boone,Boone,05009
ocd-division/country:us/state:ar/county:bradley,Bradley,05011
ocd-division/country:us/state:ar/county:calhoun,Calhoun,05013
ocd-division/country:us/state:ar/county:carroll,Carroll,05015
ocd-division/country:us/state:ar/county:chicot,Chicot,05017
ocd-division/country:us/state:ar/county:clark,Clark,05019
ocd-division/country:us/state:ar/county:clay,Clay,05021
ocd-division/country:us/state:ar/county:cleburne,Cleburne,05023
ocd-division/country:us/state:ar/county:cleveland,Cleveland,05025
ocd-division/country:us/state:ar/county:columbia,Columbia,05027
ocd-division/country:us/state:ar/county:conway,Conway,05029
ocd-division/country:us/state:ar/county:craighead,Craighead,05031
ocd-division/country:us/state:ar/county:crawford,Crawford,05033
ocd-division/country:us/state:ar/county:crittenden,Crittenden,05035
ocd-division/country:us/state:ar/county:cross,Cross,05037
ocd-division/country:us/state:ar/county:dallas,Dallas,05039
ocd-division/country:us/state:ar/county:desha,Desha,05041
ocd-division/country:us/state:ar/county:drew,Drew,05043
ocd-division/country:us/state:ar/county:faulkner,Faulkner,05045
ocd-division/country:us/state:ar/county:franklin,Franklin,05047
ocd-division/country:us/state:ar/county:fulton,Fulton,05049
ocd-division/country:us/state:ar/county:garland,Garland,05051
ocd-division/country:us/state:ar/county:grant,Grant,05053
ocd-division/country:us/state:ar/county:greene,Greene,05055
ocd-division/country:us/state:ar/county:hempstead,Hempstead,05057
ocd-division/country:us/state:ar/county:hot_spring,Hot Spring,05059
ocd-division/country:us/state:ar/county:howard,Howard,05061
ocd-division/country:us/state:ar/county:independence,Independence,05063
ocd-division/country:us/state:ar/county:izard,Izard,05065
ocd-division/country:us/state:ar/county:jackson,Jackson,05067
ocd-division/country:us/state:ar/county:jefferson,Jefferson,05069
ocd-division/country:us/state:ar/county:johnson,Johnson,05071
ocd-division/country:us/state:ar/county:lafayette,Lafayette,05073
ocd-division/country:us/state:ar/county:lawrence,Lawrence,05075
ocd-division/country:us/state:ar/county:lee,Lee,05077
ocd-division/country:us/state:ar/county:lincoln,Lincoln,05079
ocd-division/country:us/state:ar/county:little_river,Little River,05081
ocd-division/country:us/state:ar/county:logan,Logan,05083
ocd-division/country:us/state:ar/county:lonoke,Lonoke,05085
ocd-division/country:us/state:ar/county:madison,Madison,05087
ocd-division/country:us/state:ar/county:marion,Marion,05089
ocd-division/country:us/state:ar/county:miller,Miller,05091
ocd-division/country:us/state:ar/county:mississippi,Mississippi,05093
ocd-division/country:us/state:ar/county:monroe,Monroe,05095
ocd-division/country:us/state:ar/county:montgomery,Montgomery,05097
ocd-division/country:us/state:ar/county:nevada,Nevada,05099
ocd-division/country:us/state:ar/county:newton,Newton,05101
ocd-division/country:us/state:ar/county:ouachita,Ouachita,05103
ocd-division/country:us/state:ar/county:perry,Perry,05105
ocd-division/country:us/state:ar/county:phillips,Phillips,05107
ocd-division/country:us/state:ar/county:pike,Pike,05109
ocd-division/country:us/state:ar/county:poinsett,Poinsett,05111
ocd-division/country:us/state:ar/county:polk,Polk,05113
ocd-division/country:us/state:ar/county:pope,Pope,05115
ocd-division/country:us/state:ar/county:prairie,Prairie,05117
ocd-division/country:us/state:ar/county:pulaski,Pulaski,05119
ocd-division/country:us/state:ar/county:randolph,Randolph,05121
ocd-division/country:us/state:ar/county:saline,Saline,05125
ocd-division/country:us/state:ar/county:scott,Scott,05127
ocd-division/country:us/state:ar/county:searcy,Searcy,05129
ocd-division/country:us/state:ar/county:sebastian,Sebastian,05131
ocd-division/country:us/state:ar/county:sevier,Sevier,05133
ocd-division/country:us/state:ar/county:sharp,Sharp,05135
ocd-division/country:us/state:ar/county:st_francis,St. Francis,05123
ocd-division/country:us/state:ar/county:stone,Stone,05137
ocd-division/country:us/state:ar/county:union,Union,05139
ocd-division/country:us/state:ar/county:van_buren,Van Buren,05141
ocd-division/country:us/state:ar/county:washington,Washington,05143
ocd-division/country:us/state:ar/county:white,White,05145
ocd-division/country:us/state:ar/county:woodruff,Woodruff,05147
ocd-division/country:us/state:ar/county:yell,Yell,05149
